Capability ID,Domain,Capability,Consumer Perspective,Service Provider Perspective,Platform/Admin Perspective,Depends On
IAM-001,Identity and Access Management,Actor Authentication,Authenticate to DCM via configured IdP,—,Register and configure Auth Providers; manage local user store,—
IAM-002,Identity and Access Management,Session Token Management,Receive and use session tokens; token refresh,—,"Configure session TTL, failover chain",IAM-001
IAM-003,Identity and Access Management,Role-Based Access Control,Receive role-appropriate service catalog and API responses,—,Declare role mappings; assign roles to actors,IAM-001
IAM-004,Identity and Access Management,Group Membership Resolution,Group memberships automatically applied from IdP,—,Map IdP groups to DCM groups; declare group-role relationships,"IAM-001, IAM-003"
IAM-005,Identity and Access Management,Multi-Factor Authentication,Satisfy per-session and step-up MFA challenges,—,Configure MFA methods; declare step-up operations,IAM-001
IAM-006,Identity and Access Management,SCIM Automated Provisioning,Actor created/updated/deprovisioned from IdP automatically,—,Configure SCIM endpoint and attribute mappings,IAM-001
IAM-007,Identity and Access Management,Tenant Scope Enforcement,Access restricted to authorized Tenants,—,Declare Tenant membership; configure cross-tenant policies,"IAM-003, IAM-004"
CAT-001,Service Catalog,Service Catalog Presentation,Browse available services filtered by RBAC,Declare catalog items for offered resource types,Activate catalog items; configure catalog visibility policies,"IAM-003, IAM-007"
CAT-002,Service Catalog,Service Schema Discovery,"View field schemas, constraints, and edit constraints for a catalog item",Declare field schemas in Resource Type Spec,Configure constraint visibility level per profile,CAT-001
CAT-003,Service Catalog,Catalog Item Search and Filter,"Search catalog by keyword, resource type, tag",—,Configure Search Index for catalog,CAT-001
CAT-004,Service Catalog,Catalog Item Versioning,Request a specific version of a catalog item,Publish new catalog item versions following semver,Manage version lifecycle; enforce deprecation timelines,CAT-001
CAT-005,Service Catalog,Cost Estimation,Receive estimated cost before submitting a request,Declare cost metadata on provider registration,Configure Cost Analysis component,CAT-001
CAT-006,Service Catalog,Dependency Visualization,See required dependencies for a catalog item before requesting,Declare dependency graph in Resource Type Spec,—,CAT-001
CAT-007,Service Catalog,Catalog Item Deprecation,Receive deprecation warnings on deprecated catalog items,Declare successor types in deprecation notice,Manage deprecation lifecycle; notify consumers,CAT-004
REQ-001,Request Lifecycle Management,Submit Service Request,"Submit a resource request via UI, API, or Git PR",—,Configure request ingress surfaces,"IAM-007, CAT-001"
REQ-002,Request Lifecycle Management,Intent State Capture,Request stored as versioned GitOps artifact before processing,—,Configure Intent Store; manage Git repository structure,REQ-001
REQ-003,Request Lifecycle Management,Layer Assembly,Request enriched with organizational defaults and context layers,Contribute Service Layers for resource types,Manage Core Layers; configure Layer Cache,REQ-002
